1.87,0.68
-0.22,0.84
-1.06,0.93
2.96,0.98
-1.11,0.74
2.29,0.42
2.72,0.48
2.69,0.57
2.37,0.54
-0.04,0.79
0.99,0.71
1.42,0.11
1.07,0.12
-0.47,0.08
-1.11,0.68
0.79,0.36
2.61,0.57
0.31,0.93
-0.63,0.84
0.88,0.68
0.80,0.59
0.80,0.26
1.48,0.94
0.60,0.78
1.03,0.42
1.76,0.66
-1.42,0.45
-1.02,0.04
1.53,0.05
-0.41,0.94
0.78,0.17
1.37,0.90
2.75,0.21
-1.98,0.77
0.40,0.21
2.58,0.25
1.76,0.26
-1.89,0.38
-1.51,0.14
0.00,0.55
1.97,0.19
1.17,0.77
0.40,0.86
1.88,0.66
0.69,0.92
1.52,0.49
-0.40,0.26
-1.68,0.42
-0.09,0.61
-0.26,0.37
2.13,0.24
-0.28,0.73
2.92,0.92
-1.11,0.43
-0.54,0.05
2.39,0.77
0.78,0.91
1.99,0.70
-1.49,0.03
1.83,0.63
1.12,0.96
-0.85,0.75
2.76,0.71
1.64,0.95
-1.18,0.97
0.06,0.55
1.30,0.90
0.53,0.11
1.17,0.01
-0.63,0.31
0.27,0.42
-0.33,0.25
-0.67,0.98
-1.18,0.84
1.83,0.74
2.25,0.36
-1.63,0.09
0.54,0.22
-0.68,0.32
-1.48,0.11
0.49,0.27
2.81,0.38
0.02,0.75
-0.56,0.85
2.77,0.97
-1.47,0.88
0.68,0.92
0.54,0.44
2.18,0.94
-0.47,0.64
0.49,0.07
0.64,0.11
-1.79,0.95
2.76,0.67
2.45,0.80
0.84,0.86
0.53,0.92
1.34,0.92
1.10,0.56
-1.85,0.42
1.86,0.29
-1.49,0.24
2.04,0.62
-0.98,0.19
1.48,0.07
2.14,0.04
-0.77,0.35
1.91,0.23
-0.17,0.63
-0.14,0.40
0.40,0.06
1.53,0.87
1.94,0.29
1.93,0.25
-0.83,0.44
0.93,0.73
1.73,0.97
2.51,0.67
0.70,0.72
-1.57,0.81
-0.21,0.98
-0.94,0.06
0.69,0.13
-0.67,0.23
0.15,0.77
-1.36,0.78
-0.48,0.84
0.36,0.97
2.56,0.19
-0.15,0.62
1.95,0.69
-1.90,0.57
-1.00,0.49
1.82,0.24
0.13,0.71
